checkpoint,step,direction,control,task,num_examples,num_prompt_clusters,mean,row_ci_low,row_ci_high,cluster_ci_low,cluster_ci_high
step_030000,30000,clone_to_clone,opposite-number,pp_attractor,296,291,0.5916611681113372,0.5427167254122528,0.6422053351595595,0.5424431775778605,0.6435861277926963
step_030000,30000,clone_to_clone,opposite-number-shuffled,pp_attractor,296,291,0.5597916052148149,0.5167756265482387,0.6035969823598862,0.5171930580829531,0.6043123657792908
step_030000,30000,original_to_clone,opposite-number,pp_attractor,296,291,0.024895647087612667,0.02029138203408267,0.02970636921959954,0.02009385522007503,0.029819641839308214
step_030000,30000,original_to_clone,opposite-number-shuffled,pp_attractor,296,291,0.025473833084106445,0.018652332110984906,0.03251807685639407,0.018493785534968644,0.03260803145353298
step_030000,30000,clone_to_original,opposite-number,pp_attractor,296,291,0.17724585855329358,0.16122727667963183,0.1934378832175925,0.16134620262143465,0.19339056754570766
step_030000,30000,clone_to_original,opposite-number-shuffled,pp_attractor,296,291,0.1677476377100558,0.15116816589961182,0.1848916737614451,0.15126668329306517,0.18472275025309481
step_050000,50000,original_to_original,opposite-number,pp_attractor,296,291,0.6428746419983942,0.6049053705221898,0.6839373647763922,0.603492671251297,0.6842584627447339
step_050000,50000,original_to_original,opposite-number-shuffled,pp_attractor,296,291,0.6634891339250513,0.6210342164377908,0.7067269410635973,0.6192460054098958,0.7088231744188251
step_050000,50000,clone_to_clone,opposite-number,pp_attractor,296,291,0.524719961591669,0.486288131491558,0.5632100697707485,0.485409585076519,0.5644681134906355
step_050000,50000,clone_to_clone,opposite-number-shuffled,pp_attractor,296,291,0.49939171687976736,0.46704615165252944,0.5331045305003991,0.4663005984965345,0.5328444172297051
step_050000,50000,original_to_clone,opposite-number,pp_attractor,296,291,0.12955078240987417,0.11664707990917,0.14294664179151123,0.11621634274428248,0.14298424305948051
step_050000,50000,original_to_clone,opposite-number-shuffled,pp_attractor,296,291,0.12989395212482763,0.11291374419186566,0.14657364419183214,0.11343689457388192,0.14684156371763032
step_050000,50000,clone_to_original,opposite-number,pp_attractor,296,291,0.1887493922903731,0.16913695238732002,0.2092443580563004,0.16945843110915945,0.2091089398907075
step_050000,50000,clone_to_original,opposite-number-shuffled,pp_attractor,296,291,0.18769714316806277,0.16650927517865155,0.21024554839005338,0.16625473188471523,0.21041887519831295
step_065000,65000,original_to_original,opposite-number,pp_attractor,296,291,0.732268890819034,0.6858678512476586,0.7819012982217041,0.6839891320345498,0.781879568228765
step_065000,65000,original_to_original,opposite-number-shuffled,pp_attractor,296,291,0.7308442012683766,0.6844506637872877,0.7789825809968484,0.681851406060448,0.7805244573467486
step_065000,65000,clone_to_clone,opposite-number,pp_attractor,296,291,0.5185219871031271,0.48039147712894387,0.5572069641303372,0.47993112361822504,0.5576282686465531
step_065000,65000,clone_to_clone,opposite-number-shuffled,pp_attractor,296,291,0.4989320506920686,0.4635315143981495,0.5352784139884484,0.4622684759686004,0.5343514986349656
step_065000,65000,original_to_clone,opposite-number,pp_attractor,296,291,0.10780903777560673,0.0943357513160319,0.12120928965710305,0.09463446125055451,0.1211664946321542
step_065000,65000,original_to_clone,opposite-number-shuffled,pp_attractor,296,291,0.1021563620180697,0.0847474101024705,0.11981345209720971,0.08499800689292678,0.11977637618751562
step_065000,65000,clone_to_original,opposite-number,pp_attractor,296,291,0.21011710650212057,0.19077491047414574,0.2301056062047546,0.19087372961445104,0.2303402771452059
step_065000,65000,clone_to_original,opposite-number-shuffled,pp_attractor,296,291,0.20570825886082006,0.18543910110318984,0.22688278769319123,0.18503833790479096,0.22655609641868688
best,77500,original_to_original,opposite-number,pp_attractor,296,291,0.7039596196767446,0.661203848792089,0.7500846746402817,0.6587932153593858,0.7509015446969665
best,77500,original_to_original,opposite-number-shuffled,pp_attractor,296,291,0.714256320450757,0.6695051930240683,0.7614426879866703,0.6666893208751807,0.7619196338021231
best,77500,clone_to_clone,opposite-number,pp_attractor,296,291,0.5926851887960691,0.5504670441150665,0.6353240845573914,0.550101173816084,0.6367598674514078
best,77500,clone_to_clone,opposite-number-shuffled,pp_attractor,296,291,0.5753385843457403,0.5366818642696819,0.6145867684805715,0.5354493490109615,0.6151926811834239
best,77500,original_to_clone,opposite-number,pp_attractor,296,291,0.09327234448613347,0.08074428294156048,0.10580889574579291,0.08077555429171476,0.10605540736246917
best,77500,original_to_clone,opposite-number-shuffled,pp_attractor,296,291,0.09170985221862793,0.07410761500532563,0.10934500811067786,0.07379775824512502,0.10984764993970488
best,77500,clone_to_original,opposite-number,pp_attractor,296,291,0.2404964211824778,0.22013762009304924,0.26186782371353456,0.2204406323256316,0.2618882583618295
best,77500,clone_to_original,opposite-number-shuffled,pp_attractor,296,291,0.2357187126133893,0.2147021374186954,0.25744548049327487,0.2146894615305917,0.25720111809400903
step_005000,5000,original_to_original,opposite-number,object_relative,304,299,0.0013442133602343108,0.0007993573420926144,0.0018868919658033472,0.0007914540884924716,0.0019096609275712213
