checkpoint,step,direction,layer,head,mean
step_015000,15000,original_to_clone,9,0,0.002980368094401317
step_015000,15000,original_to_clone,9,1,-0.007741012014784255
step_015000,15000,original_to_clone,9,2,5.671730986586562e-05
step_015000,15000,original_to_clone,9,3,0.0009713108475143845
step_015000,15000,original_to_clone,9,4,0.0008957890776900558
step_015000,15000,original_to_clone,9,5,0.001207691055160385
step_015000,15000,original_to_clone,9,6,-0.0070449113845825195
step_015000,15000,original_to_clone,9,7,-0.002017147906191714
step_015000,15000,original_to_clone,10,0,-0.001097277478054837
step_015000,15000,original_to_clone,10,1,-0.0006316255878757786
step_015000,15000,original_to_clone,10,2,0.005812541321591214
step_015000,15000,original_to_clone,10,3,-0.004666523890452342
step_015000,15000,original_to_clone,10,4,0.009686672472739005
step_015000,15000,original_to_clone,10,5,0.0014109128230326885
step_015000,15000,original_to_clone,10,6,0.01902370732109826
step_015000,15000,original_to_clone,10,7,-0.0010202322994266545
step_015000,15000,original_to_clone,11,0,0.002069458768174455
step_015000,15000,original_to_clone,11,1,-0.002653633152042423
step_015000,15000,original_to_clone,11,2,0.0008377346906576071
step_015000,15000,original_to_clone,11,3,0.010727961858113607
step_015000,15000,original_to_clone,11,4,-0.0029705354759285043
step_015000,15000,original_to_clone,11,5,-0.0005214208955163354
step_015000,15000,original_to_clone,11,6,-0.004023309226508613
step_015000,15000,original_to_clone,11,7,0.00017407724449226448
step_015000,15000,clone_to_original,0,0,-0.0009615136696411682
step_015000,15000,clone_to_original,0,1,0.000601647136447666
step_015000,15000,clone_to_original,0,2,0.007259942389823295
step_015000,15000,clone_to_original,0,3,0.002913207621187777
step_015000,15000,clone_to_original,0,4,-0.006842862915348362
step_015000,15000,clone_to_original,0,5,-0.0017556236670897888
step_015000,15000,clone_to_original,0,6,0.00012062852447097366
step_015000,15000,clone_to_original,0,7,-4.262107986587662e-05
step_015000,15000,clone_to_original,1,0,0.0016060079540218318
step_015000,15000,clone_to_original,1,1,9.060442984641136e-06
step_015000,15000,clone_to_original,1,2,0.0011568842707453547
step_015000,15000,clone_to_original,1,3,-0.00013717606260969833
step_015000,15000,clone_to_original,1,4,0.0007099809947314563
step_015000,15000,clone_to_original,1,5,-0.0006972707069671906
step_015000,15000,clone_to_original,1,6,-0.0008514824214282336
step_015000,15000,clone_to_original,1,7,0.0009492023571117504
step_015000,15000,clone_to_original,2,0,-0.0016705243437139838
step_015000,15000,clone_to_original,2,1,0.0009645642461003484
step_015000,15000,clone_to_original,2,2,-0.0007765250163035349
step_015000,15000,clone_to_original,2,3,-1.2968574558292423e-05
step_015000,15000,clone_to_original,2,4,-0.00020507595560572168
