checkpoint,step,direction,control,task,num_examples,mean_delta_ld
step_050000,50000,clone_to_original,same-number-shuffled,simple,392,0.0877413907829596
step_050000,50000,clone_to_original,opposite-number-shuffled,simple,392,0.07520226434785493
step_065000,65000,original_to_original,clean,simple,392,0.10744540058836645
step_065000,65000,original_to_original,opposite-number,simple,392,-1.8246319829201212e-08
step_065000,65000,original_to_original,same-number-shuffled,simple,392,0.10841753409833324
step_065000,65000,original_to_original,opposite-number-shuffled,simple,392,-0.0006471130312705526
step_065000,65000,clone_to_clone,clean,simple,392,0.09075899026831802
step_065000,65000,clone_to_clone,opposite-number,simple,392,3.795234524473852e-07
step_065000,65000,clone_to_clone,same-number-shuffled,simple,392,0.09322243199056508
step_065000,65000,clone_to_clone,opposite-number-shuffled,simple,392,0.001274815627506801
step_065000,65000,original_to_clone,clean,simple,392,0.055383347735113025
step_065000,65000,original_to_clone,opposite-number,simple,392,0.037556668933557004
step_065000,65000,original_to_clone,same-number-shuffled,simple,392,0.05597649058517145
step_065000,65000,original_to_clone,opposite-number-shuffled,simple,392,0.03475814936112384
step_065000,65000,clone_to_original,clean,simple,392,0.09822155991379096
step_065000,65000,clone_to_original,opposite-number,simple,392,0.08399541159065402
step_065000,65000,clone_to_original,same-number-shuffled,simple,392,0.09834162434753106
step_065000,65000,clone_to_original,opposite-number-shuffled,simple,392,0.08246955457998782
best,77500,original_to_original,clean,simple,392,0.11016922216026151
best,77500,original_to_original,opposite-number,simple,392,-2.0679162473094706e-08
best,77500,original_to_original,same-number-shuffled,simple,392,0.10975218062498132
best,77500,original_to_original,opposite-number-shuffled,simple,392,-0.00031791657817607024
best,77500,clone_to_clone,clean,simple,392,0.10081490448543004
best,77500,clone_to_clone,opposite-number,simple,392,-6.325390874123087e-08
best,77500,clone_to_clone,same-number-shuffled,simple,392,0.10345813936116743
best,77500,clone_to_clone,opposite-number-shuffled,simple,392,-0.000369455133165632
best,77500,original_to_clone,clean,simple,392,0.06869955452121033
best,77500,original_to_clone,opposite-number,simple,392,0.04755219634698362
best,77500,original_to_clone,same-number-shuffled,simple,392,0.06860093437895483
best,77500,original_to_clone,opposite-number-shuffled,simple,392,0.04574426339597118
best,77500,clone_to_original,clean,simple,392,0.08781334453699541
best,77500,clone_to_original,opposite-number,simple,392,0.06280613067198773
best,77500,clone_to_original,same-number-shuffled,simple,392,0.08811613856529703
best,77500,clone_to_original,opposite-number-shuffled,simple,392,0.06062251572706261
step_005000,5000,original_to_original,clean,pp_attractor,296,0.002387821674346924
step_005000,5000,original_to_original,opposite-number,pp_attractor,296,7.410307188291807e-08
step_005000,5000,original_to_original,same-number-shuffled,pp_attractor,296,0.003068145867940542
step_005000,5000,original_to_original,opposite-number-shuffled,pp_attractor,296,0.003529203904641641
step_005000,5000,clone_to_clone,clean,pp_attractor,296,0.01741034920151169
step_005000,5000,clone_to_clone,opposite-number,pp_attractor,296,6.443745381123311e-09
step_005000,5000,clone_to_clone,same-number-shuffled,pp_attractor,296,0.015685203913095837
step_005000,5000,clone_to_clone,opposite-number-shuffled,pp_attractor,296,-0.0017516709662772514
step_005000,5000,original_to_clone,clean,pp_attractor,296,0.005661218552976041
step_005000,5000,original_to_clone,opposite-number,pp_attractor,296,0.005415104530953072
step_005000,5000,original_to_clone,same-number-shuffled,pp_attractor,296,0.004750817208676724
step_005000,5000,original_to_clone,opposite-number-shuffled,pp_attractor,296,0.009639701327762089
step_005000,5000,clone_to_original,clean,pp_attractor,296,0.0069092898755460175
step_005000,5000,clone_to_original,opposite-number,pp_attractor,296,0.005047372869543127
step_005000,5000,clone_to_original,same-number-shuffled,pp_attractor,296,0.0072800839269483416
step_005000,5000,clone_to_original,opposite-number-shuffled,pp_attractor,296,0.004607830498669599
step_015000,15000,original_to_original,clean,pp_attractor,296,0.005778378731495625
step_015000,15000,original_to_original,opposite-number,pp_attractor,296,1.0632179878853463e-07
step_015000,15000,original_to_original,same-number-shuffled,pp_attractor,296,0.010381746936488795
step_015000,15000,original_to_original,opposite-number-shuffled,pp_attractor,296,-0.0008424504383190258
step_015000,15000,clone_to_clone,clean,pp_attractor,296,0.4052470648610914
step_015000,15000,clone_to_clone,opposite-number,pp_attractor,296,-8.054681726404138e-08
step_015000,15000,clone_to_clone,same-number-shuffled,pp_attractor,296,0.4076453415123192
step_015000,15000,clone_to_clone,opposite-number-shuffled,pp_attractor,296,0.006174137463440766
step_015000,15000,original_to_clone,clean,pp_attractor,296,0.2040499271573247
step_015000,15000,original_to_clone,opposite-number,pp_attractor,296,0.20842940581811442
step_015000,15000,original_to_clone,same-number-shuffled,pp_attractor,296,0.20792798899315498
step_015000,15000,original_to_clone,opposite-number-shuffled,pp_attractor,296,0.208270153483829
step_015000,15000,clone_to_original,clean,pp_attractor,296,0.03801780939102173
step_015000,15000,clone_to_original,opposite-number,pp_attractor,296,-0.005224451825425432
step_015000,15000,clone_to_original,same-number-shuffled,pp_attractor,296,0.03703416038203884
step_015000,15000,clone_to_original,opposite-number-shuffled,pp_attractor,296,-0.005809529407604321
step_030000,30000,original_to_original,clean,pp_attractor,296,0.1556438852000881
step_030000,30000,original_to_original,opposite-number,pp_attractor,296,-1.8364674336201436e-07
step_030000,30000,original_to_original,same-number-shuffled,pp_attractor,296,0.15346421422185125
step_030000,30000,original_to_original,opposite-number-shuffled,pp_attractor,296,-0.0034335448935225205
step_030000,30000,clone_to_clone,clean,pp_attractor,296,0.5916611101176288
step_030000,30000,clone_to_clone,opposite-number,pp_attractor,296,-5.79937084301098e-08
step_030000,30000,clone_to_clone,same-number-shuffled,pp_attractor,296,0.5696236362328401
step_030000,30000,clone_to_clone,opposite-number-shuffled,pp_attractor,296,0.031869504902813886
step_030000,30000,original_to_clone,clean,pp_attractor,296,0.3058084265605823
step_030000,30000,original_to_clone,opposite-number,pp_attractor,296,0.28091277947296966
step_030000,30000,original_to_clone,same-number-shuffled,pp_attractor,296,0.3038828759580045
step_030000,30000,original_to_clone,opposite-number-shuffled,pp_attractor,296,0.2803345934764759
step_030000,30000,clone_to_original,clean,pp_attractor,296,0.16581290154843717
step_030000,30000,clone_to_original,opposite-number,pp_attractor,296,-0.01143295700485642
step_030000,30000,clone_to_original,same-number-shuffled,pp_attractor,296,0.1622048519753121
step_030000,30000,clone_to_original,opposite-number-shuffled,pp_attractor,296,-0.0019347361616186194
step_050000,50000,original_to_original,clean,pp_attractor,296,0.6428747595967473
step_050000,50000,original_to_original,opposite-number,pp_attractor,296,1.1759835320550043e-07
step_050000,50000,original_to_original,same-number-shuffled,pp_attractor,296,0.6214760509697167
step_050000,50000,original_to_original,opposite-number-shuffled,pp_attractor,296,-0.020614374328303983
step_050000,50000,clone_to_clone,clean,pp_attractor,296,0.5247198149964616
step_050000,50000,clone_to_clone,opposite-number,pp_attractor,296,-1.4659520742055533e-07
step_050000,50000,clone_to_clone,same-number-shuffled,pp_attractor,296,0.5086171433732316
step_050000,50000,clone_to_clone,opposite-number-shuffled,pp_attractor,296,0.02532809811669427
step_050000,50000,original_to_clone,clean,pp_attractor,296,0.3367285873438861
step_050000,50000,original_to_clone,opposite-number,pp_attractor,296,0.20717780493401192
step_050000,50000,original_to_clone,same-number-shuffled,pp_attractor,296,0.3393153564350025
step_050000,50000,original_to_clone,opposite-number-shuffled,pp_attractor,296,0.20683463521905848
step_050000,50000,clone_to_original,clean,pp_attractor,296,0.41001947344960393
step_050000,50000,clone_to_original,opposite-number,pp_attractor,296,0.22127008115923083
step_050000,50000,clone_to_original,same-number-shuffled,pp_attractor,296,0.4052531219817497
step_050000,50000,clone_to_original,opposite-number-shuffled,pp_attractor,296,0.22232233028154116
step_065000,65000,original_to_original,clean,pp_attractor,296,0.7322690696329683
step_065000,65000,original_to_original,opposite-number,pp_attractor,296,1.7881393432617188e-07
step_065000,65000,original_to_original,same-number-shuffled,pp_attractor,296,0.7100330365670694
step_065000,65000,original_to_original,opposite-number-shuffled,pp_attractor,296,0.0014248683645918562
step_065000,65000,clone_to_clone,clean,pp_attractor,296,0.5185220692608807
step_065000,65000,clone_to_clone,opposite-number,pp_attractor,296,8.215775360932221e-08
step_065000,65000,clone_to_clone,same-number-shuffled,pp_attractor,296,0.5067868651570501
step_065000,65000,clone_to_clone,opposite-number-shuffled,pp_attractor,296,0.01959001856881219
step_065000,65000,original_to_clone,clean,pp_attractor,296,0.32820199631355906
step_065000,65000,original_to_clone,opposite-number,pp_attractor,296,0.22039295853795232
step_065000,65000,original_to_clone,same-number-shuffled,pp_attractor,296,0.3299679047352559
step_065000,65000,original_to_clone,opposite-number-shuffled,pp_attractor,296,0.22604563429548935
step_065000,65000,clone_to_original,clean,pp_attractor,296,0.4650033196887454
step_065000,65000,clone_to_original,opposite-number,pp_attractor,296,0.2548862131866249
step_065000,65000,clone_to_original,same-number-shuffled,pp_attractor,296,0.46421838289982564
