checkpoint,step,direction,control,task,site,selection,num_examples,mean
step_005000,5000,original_to_clone,opposite-number-shuffled,subject_relative,L8H0,dev_ranked,288,0.004080583651860555
step_005000,5000,original_to_clone,opposite-number-shuffled,subject_relative,L11H0,dev_ranked,288,0.007446477810541789
step_005000,5000,clone_to_original,opposite-number,pooled_distractor,L8H3,pre_registered,888,0.003369117105329359
step_005000,5000,clone_to_original,opposite-number,pooled_distractor,L10H2,dev_ranked,888,0.00513357890618814
step_005000,5000,clone_to_original,opposite-number,pooled_distractor,L9H0,dev_ranked,888,0.0011864068271877528
step_005000,5000,clone_to_original,opposite-number,pooled_distractor,L11H7,dev_ranked,888,7.361710608542503e-05
step_005000,5000,clone_to_original,opposite-number,pooled_distractor,L8H0,dev_ranked,888,-0.0007468300896721917
step_005000,5000,clone_to_original,opposite-number,pooled_distractor,L11H0,dev_ranked,888,-0.004236044110478582
step_005000,5000,clone_to_original,opposite-number,simple,L8H3,pre_registered,392,0.0021620125186686615
step_005000,5000,clone_to_original,opposite-number,simple,L10H2,dev_ranked,392,0.008205282444856604
step_005000,5000,clone_to_original,opposite-number,simple,L9H0,dev_ranked,392,0.0010961269845767897
step_005000,5000,clone_to_original,opposite-number,simple,L11H7,dev_ranked,392,-0.0012463002788777255
step_005000,5000,clone_to_original,opposite-number,simple,L8H0,dev_ranked,392,0.0014377820248506507
step_005000,5000,clone_to_original,opposite-number,simple,L11H0,dev_ranked,392,-0.0037365701733803264
step_005000,5000,clone_to_original,opposite-number,pp_attractor,L8H3,pre_registered,296,0.00186191700600289
step_005000,5000,clone_to_original,opposite-number,pp_attractor,L10H2,dev_ranked,296,0.006163658322514714
step_005000,5000,clone_to_original,opposite-number,pp_attractor,L9H0,dev_ranked,296,0.0027603941994744376
step_005000,5000,clone_to_original,opposite-number,pp_attractor,L11H7,dev_ranked,296,3.291142953408731e-06
step_005000,5000,clone_to_original,opposite-number,pp_attractor,L8H0,dev_ranked,296,-0.0007375285432145402
step_005000,5000,clone_to_original,opposite-number,pp_attractor,L11H0,dev_ranked,296,-0.0038058435594713366
step_005000,5000,clone_to_original,opposite-number,object_relative,L8H3,pre_registered,304,0.003764448981536062
step_005000,5000,clone_to_original,opposite-number,object_relative,L10H2,dev_ranked,304,0.005744896436992444
step_005000,5000,clone_to_original,opposite-number,object_relative,L9H0,dev_ranked,304,-0.0012124557244150263
step_005000,5000,clone_to_original,opposite-number,object_relative,L11H7,dev_ranked,304,-0.0003950078236429315
step_005000,5000,clone_to_original,opposite-number,object_relative,L8H0,dev_ranked,304,0.00040504022648459986
step_005000,5000,clone_to_original,opposite-number,object_relative,L11H0,dev_ranked,304,-0.00426578678582844
step_005000,5000,clone_to_original,opposite-number,subject_relative,L8H3,pre_registered,288,0.004500889115863376
step_005000,5000,clone_to_original,opposite-number,subject_relative,L10H2,dev_ranked,288,0.003429606556892395
step_005000,5000,clone_to_original,opposite-number,subject_relative,L9H0,dev_ranked,288,0.0021008302768071494
step_005000,5000,clone_to_original,opposite-number,subject_relative,L11H7,dev_ranked,288,0.0006405562162399292
step_005000,5000,clone_to_original,opposite-number,subject_relative,L8H0,dev_ranked,288,-0.001972253123919169
step_005000,5000,clone_to_original,opposite-number,subject_relative,L11H0,dev_ranked,288,-0.004646799630588955
step_005000,5000,clone_to_original,opposite-number-shuffled,pooled_distractor,L8H3,pre_registered,888,0.00403650816496428
step_005000,5000,clone_to_original,opposite-number-shuffled,pooled_distractor,L10H2,dev_ranked,888,0.00565564793509406
step_005000,5000,clone_to_original,opposite-number-shuffled,pooled_distractor,L9H0,dev_ranked,888,0.0015218214945750194
step_005000,5000,clone_to_original,opposite-number-shuffled,pooled_distractor,L11H7,dev_ranked,888,0.0002803721943417111
step_005000,5000,clone_to_original,opposite-number-shuffled,pooled_distractor,L8H0,dev_ranked,888,0.0004738349098343033
step_005000,5000,clone_to_original,opposite-number-shuffled,pooled_distractor,L11H0,dev_ranked,888,-0.004618995361499958
step_005000,5000,clone_to_original,opposite-number-shuffled,simple,L8H3,pre_registered,392,0.0015918405688538843
step_005000,5000,clone_to_original,opposite-number-shuffled,simple,L10H2,dev_ranked,392,0.007774164482038848
step_005000,5000,clone_to_original,opposite-number-shuffled,simple,L9H0,dev_ranked,392,0.0011673618336113132
step_005000,5000,clone_to_original,opposite-number-shuffled,simple,L11H7,dev_ranked,392,-0.0009308579016704949
step_005000,5000,clone_to_original,opposite-number-shuffled,simple,L8H0,dev_ranked,392,0.0017506626187538614
step_005000,5000,clone_to_original,opposite-number-shuffled,simple,L11H0,dev_ranked,392,-0.0036123455787191584
step_005000,5000,clone_to_original,opposite-number-shuffled,pp_attractor,L8H3,pre_registered,296,0.0023014593768764186
step_005000,5000,clone_to_original,opposite-number-shuffled,pp_attractor,L10H2,dev_ranked,296,0.008032212386260161
step_005000,5000,clone_to_original,opposite-number-shuffled,pp_attractor,L9H0,dev_ranked,296,0.004348213608200486
step_005000,5000,clone_to_original,opposite-number-shuffled,pp_attractor,L11H7,dev_ranked,296,-0.00025411232097728834
step_005000,5000,clone_to_original,opposite-number-shuffled,pp_attractor,L8H0,dev_ranked,296,0.0015122197769783638
step_005000,5000,clone_to_original,opposite-number-shuffled,pp_attractor,L11H0,dev_ranked,296,-0.00393157553028416
step_005000,5000,clone_to_original,opposite-number-shuffled,object_relative,L8H3,pre_registered,304,0.005777263327648765
step_005000,5000,clone_to_original,opposite-number-shuffled,object_relative,L10H2,dev_ranked,304,0.005958787704768933
step_005000,5000,clone_to_original,opposite-number-shuffled,object_relative,L9H0,dev_ranked,304,-0.0007638899903548392
step_005000,5000,clone_to_original,opposite-number-shuffled,object_relative,L11H7,dev_ranked,304,0.00025557844262374073
step_005000,5000,clone_to_original,opposite-number-shuffled,object_relative,L8H0,dev_ranked,304,0.001068488547676488
step_005000,5000,clone_to_original,opposite-number-shuffled,object_relative,L11H0,dev_ranked,304,-0.005179031899100856
step_005000,5000,clone_to_original,opposite-number-shuffled,subject_relative,L8H3,pre_registered,288,0.003982288969887627
step_005000,5000,clone_to_original,opposite-number-shuffled,subject_relative,L10H2,dev_ranked,288,0.002893086936738756
step_005000,5000,clone_to_original,opposite-number-shuffled,subject_relative,L9H0,dev_ranked,288,0.0010296139452192518
step_005000,5000,clone_to_original,opposite-number-shuffled,subject_relative,L11H7,dev_ranked,288,0.0008558746841218737
step_005000,5000,clone_to_original,opposite-number-shuffled,subject_relative,L8H0,dev_ranked,288,-0.0012210839324527318
step_005000,5000,clone_to_original,opposite-number-shuffled,subject_relative,L11H0,dev_ranked,288,-0.004734360509448581
step_015000,15000,original_to_original,opposite-number,pooled_distractor,L8H3,pre_registered,888,0.005025463061289744
step_015000,15000,original_to_original,opposite-number,pooled_distractor,L10H2,dev_ranked,888,0.001816844081019496
step_015000,15000,original_to_original,opposite-number,pooled_distractor,L9H0,dev_ranked,888,0.0012330466562563234
step_015000,15000,original_to_original,opposite-number,pooled_distractor,L11H7,dev_ranked,888,0.0008959034541705707
step_015000,15000,original_to_original,opposite-number,pooled_distractor,L8H0,dev_ranked,888,0.02707702243650282
step_015000,15000,original_to_original,opposite-number,pooled_distractor,L11H0,dev_ranked,888,-0.0012806772111772417
step_015000,15000,original_to_original,opposite-number,simple,L8H3,pre_registered,392,-0.00399720303866328
step_015000,15000,original_to_original,opposite-number,simple,L10H2,dev_ranked,392,0.0017362942500990263
step_015000,15000,original_to_original,opposite-number,simple,L9H0,dev_ranked,392,0.0025764107704162598
step_015000,15000,original_to_original,opposite-number,simple,L11H7,dev_ranked,392,0.002071767437214754
step_015000,15000,original_to_original,opposite-number,simple,L8H0,dev_ranked,392,0.0014255302292960031
step_015000,15000,original_to_original,opposite-number,simple,L11H0,dev_ranked,392,-0.002028642868509098
step_015000,15000,original_to_original,opposite-number,pp_attractor,L8H3,pre_registered,296,0.0057782724096968364
step_015000,15000,original_to_original,opposite-number,pp_attractor,L10H2,dev_ranked,296,0.0016154485779839593
step_015000,15000,original_to_original,opposite-number,pp_attractor,L9H0,dev_ranked,296,0.0010922776686178672
step_015000,15000,original_to_original,opposite-number,pp_attractor,L11H7,dev_ranked,296,-0.00017520060410370698
step_015000,15000,original_to_original,opposite-number,pp_attractor,L8H0,dev_ranked,296,0.04347957791508855
step_015000,15000,original_to_original,opposite-number,pp_attractor,L11H0,dev_ranked,296,-0.00015622377395629883
step_015000,15000,original_to_original,opposite-number,object_relative,L8H3,pre_registered,304,0.0023471744436966745
step_015000,15000,original_to_original,opposite-number,object_relative,L10H2,dev_ranked,304,0.0026640892028808594
step_015000,15000,original_to_original,opposite-number,object_relative,L9H0,dev_ranked,304,0.00021981251867193925
step_015000,15000,original_to_original,opposite-number,object_relative,L11H7,dev_ranked,304,0.0009801811293551797
step_015000,15000,original_to_original,opposite-number,object_relative,L8H0,dev_ranked,304,0.014099356375242534
